Komentar Pengguna;Kategori;Label
Chat GPT is really helpful... Beberapa hari ini coba pakai buat di pekerjaan, tapi ya nggak plek ketiplek copas banget sih. Secanggih canggihnya teknologi tetep aja konten mah manusianya yang mengendalikan.;Functionality;Positif
asli terbantu bgt sama chat gpt?????????????????????? BIG THANKS buat developer sini aku jajanin bakso semangkok;Functionality;Positif
minta tulisan kuratorial pendek pake chatgpt ?????? not bad hasilnya ngiahahahahahaa;Functionality;Positif
"tidaaaaa...kemaren bikin post linkedin kebantu banget pake chatGPT. 5 menit aja udh jadi dan flow kalimatnya enak.
emang dasar ni, ga bisa liat orang seneng dikit.";Functionality;Positif
gua ngerangkum ini setengah hari sambil baca2, chat gpt ngerangkum cuma dalam 1 menit. mana bener semua anj https://t.co/t57gi45ilz;Functionality;Positif
hadeh chatgpt ngedown wkwkwkwk;Functionality;Negatif
Kupikir dengan spent $20 buat layanan plus dari chatgpt itu bakal worth it buat di segala kondisi. Ternyata pas hectic kek gini ikutan gabisa keakses juga. Saatnya balik ke stack overflow ?? malu banget, dateng pas ada butuhnya doang, mana dijadiin pilihan kedua lagi wkwkwk;Reliability;Negatif
anyingggg chat gpt kok erorrrrrrrrrrrr;Functionality;Negatif
COK ini knp chatgpt lg gabisa;Functionality;Negatif
Chat gpt gabisa dibuka anying;Functionality;Negatif
"Orang-orang pakai ChatGPT seakan menjadikannya sumber informasi yang valid tanpa melakukan cross check. Padahal ChatGPT suka ""mengarang"", bias ke dataset, dan tidak pernah klaim kebenaran.";Functionality;Negatif
chatGPT lagi kenapa deh dr kmrin kok lemot bgtt :(;Reliability;Negatif
Chat gpt sesat ngasi jurnal imaginer anj;Functionality;Negatif
Selalu kesulitan merangkai kata2 buat Cover Letter beruntung banget ada ChatGPT yg bantu nulisin ????????;Functionality;Positif
"Dulu cape validasi regex formula yg kriterianya ribet, skrg tinggal copas ke chatGPT lgsg dapat formulanya lol
Bahagia bgt bisa maksimalin chatGPT utk keperluan kerja :3
Cons nya jd malas mikir sih tapi lol";Functionality;Positif
seru bgt lg ngobrol sm chatgpt ga kerasa udh 30 menit;Functionality;Positif
"ChatGPT setelah error history chat nya ilang semua :""""""""""""""""";Reliability;Negatif
semenjak ada chatGPT tugas w kelar hanya dalam hitungan menit. bingung mau bersyukur apa resah karena otak w makin kesini makin ga ada kerjaan ?????;Functionality;Positif
Sekarang kerja tugas lebih enak pake chat gpt, nyari coding dan minta di buatkan kesimpulan ??;Functionality;Positif
makasih chat gpt, jadi bisa bales2 email yang nawarin segala product in english..;Functionality;Positif
Wah parah sih chatgpt kalo ngasih referensi ngga ada semua pas dicari;Functionality;Negatif
Mantep bgt emng ChatGpt, giliran gw lagi need bgt malah lelet;Reliability;Negatif
"best banget anjir ngomongin au sama chatgpt ??
ngakak bgt. cobain deh ??";Functionality;Positif
"Jadi, uhuk. Gua iseng2 nyoba ChatGPT krn iseng aja gitu. Dan gua agak amazed sama hasilnya ??????
Apakah dunia kita akan dikuasai AI???
Responnya fast bgt n lengkap plek, isinya kayak tour guide keliling bali. 
Yg gua ga nyangka, AU JUGA BISA https://t.co/yZsScO4E8c";Functionality;Positif
"gila keren bgt chatgpt,  bisa dibantuin klo aku bingung mau bales apa chat org???? lopyu banyak"" penolong tugasku";Functionality;Positif
KENAPA CHATGPT TIDAK BISA MENYIMPAN PERCAKAPAN YANG SUDAH DIBUAT ARRGHHHHHHH;Functionality;Negatif
"Main2 chatgpt seru juga ternyata..
Jawabannya to the point bgt";Functionality;Positif
Ngeselin banget ChatGPT hobi bikin referensi paper penelitian fiktif, pas dicek ke google papernya gaada ??;Functionality;Negatif
bgst juga chat gpt ??. ngasih saran ngambil dari dependencies tapi gak disuruh install dulu;Functionality;Negatif
chat gpt is the future of everything huwaa???? capek mikir capek nyari buat karya ilmiah ni malah JRENGG langsung dikasi disuapin malah ??;Usability;Positif
yang bikin chat gpt semoga masuk surga?? memudahkan tugas metlitkuuuu;Functionality;Positif
ngelab lebih mudah sejak ada chatgpt ??;Functionality;Positif
Capek ngobrol pake bahasa Sunda sama chatGPT. Ga nyambung wkwkwkwk;Functionality;Negatif
Chatgpt kenapa lemot ya ?? apakah dia juga cape. Hang in there.;Reliability;Negatif
Yak chat GPT akhir akhir ini sangat membantu tugas dan laporanku ahaha;Functionality;Positif
Main WORDLE atau KATLA tapi menggunakan bantuan chatGPT. Ya menang terus. Hahaha...;Functionality;Positif
"Enak juga konsultasi sama ChatGPT buat nyusun career path gw untuk 5 tahun ke depan, jelas dan terperinci.

Kl konsul ke bonyok, ""lakuin aja yg bikin kamu happy sama menghasilkan uang buat kamu hidup"" ??";Functionality;Positif
Keknya chatgpt lg mabok, error terus daritadi ??;Reliability;Negatif
ChatGPT mempermudah hidup. Baru saja menulis surat kritikan terhadap admin Facebook suatu grup gaming. Kalau nulis sendiri sih males banget.;Functionality;Positif
i love using chatgpt untuk membantu parafrase????;Functionality;Positif
Barusan menggunakan ChatGPT untuk mencari referensi yang lenyap entah kemana. Cukup berguna!;Functionality;Positif
Curhat ke chatgpt lebih enak daripada curhat ke temen, mana langsung dikasih solusi dan tentunya rahasia aman terjamin wkwk;Functionality;Positif
translate paragraf dari bahasa indo ke bahasa inggris mending pake chat gpt daripada google translate. bahasanya lebih fleksibel;Functionality;Positif
Terima kasih chatgpt sudah membantu saya mengerjakan tugas??;Functionality;Positif
chatgpt penolong disaat membuat proposal;Functionality;Positif
ChatGPT berguna juga akhirnya buat kerjaan kalo kepepet;Functionality;Positif
Sudah zamannya ngonten pakai Chat GPT dan Canva. Ngonten semakin simpel dan gak ribet. Bisa bulanan bahkan tahunan. Dan jelas bisa untuk ternak akun Tiktok ??;Functionality;Positif
"Chat GPT gk masuk akal. Hari ini baru nyobain karena disuruh Abi untuk kebutuhan personal. Aku tau hasilnya bakal bagus tapi ini bagus banget! Aku lanjutin pake ""alih terjemahkan ke dalam Bahasa Turki"" pun Bahasa Turkinya jelas lebih bagus daripada gtranslate.";Functionality;Positif
Menggunakan chatgpt, https://t.co/5TRevuSzhb  dan https://t.co/7rubCEtfca untuk membuat contoh persona untuk UX design.  Membantu sekali bagi saya yang bukan orang UX. https://t.co/opDd7zcqIy;Functionality;Positif
nyoba ngerjain 1 soal pake chatGPT. dari 4 kali percobaan, beda semua hasil akhirnya dengan rumus yang sama ??;Reliability;Negatif
Lately kebantu banget sama fak*GPS buat aku yg suka telat² dan chat gpt buat aku yg suka males nugas ?? thanks ai;Functionality;Positif
"Enaknya literature review dibantu ChatGPT ??

Saving time banget https://t.co/chtt94kE5A";Functionality;Positif
"Chat GPT masih sering salah dalam mengerjakan simple logarithmic Problem 

its something
?????????? https://t.co/qE5BlzRMMb";Reliability;Negatif
literally bikin tugas cuma 5 menit pake chat gpt..;Functionality;Positif
kebantu chat gpt edisi sekian ratus ?? bisa banget ngebantu jelasin konsep sama optimisasi kode ?? baru megang sekali nodejs dan rencana dipake di production. tanpa forum dan chatgpt bakal memakan waktu yang lebih lama bikinnya ?? https://t.co/IdYzhVJEA8;Reliability;Positif
ChatGPT mempermudah buat bikin timesheet kantor hahahha;Functionality;Positif
alhamdulilah chatGPT lagi ngebut;Reliability;Positif
THANK GOD FOR CHATGPT yaoloh saya bisa menyelesaikan banyak tugas dalam waktu yang sangat singkat dengan akurasi yang tepatttttttt;Functionality;Positif
anjingg gara2 chatgpt seminar gue bisa dikerjain lebih cepet coyy;Functionality;Positif
ChatGPT terlalu OP cuk buat saya penganut HTML CSS;Functionality;Positif
Wkwk gua jga kadang make ChatGPT buat minta saran + curhat. Asik juga curhat sama AI ??;Functionality;Positif
ChatGPT banyak gila membantu dlm drafting corporate agreement. Mantap betul.;Functionality;Positif
Konsultasi ke chatgpt sepertinya lebih praktis dan lengkap jawabannya dibanding takon koncomu sing menungso iku;Functionality;Positif
gua masih seamaze itu sama chatgpt dah, kyk hah??? gua cari di mana2 ga nemu dia bisa aja gt nemunya;Functionality;Positif
Sumpah chatgpt membantu sekali buat gua yg tipe org belibet. Jadi kalo mau search sesuatu tuh sulit ngolah katanya, belum lagi cek satu2 kalo di google.;Functionality;Positif
faaakkk sudah tidak mood uts, nyari referensi sulit, referensi chat gpt bodong semua. anygg heellp;Functionality;Negatif
SETUJUUU, chatgpt tu bisa jadi konsultan, mentor, temen curhat, guru bahkan decision maker wkwkwkwk pokoknya big lof lah buat founder nya. mana kita dikasi teknologi kaya gini secara gratis pula??;Functionality;Positif
Bikin laporan strategy deck tp dibantu chat GPT itu GILAK CEPET! ??;Functionality;Positif
chat gpt ngebantu banget jir buat tugas beginian https://t.co/ZqgTWadpp1;Functionality;Positif
"kesimpulan nyobain ChatGPT buat bantuin mikirin research:
resources yg dia kasih banyak yg ngawur maksimal. selain gaada di googlescholar, ini tuh dia juga semacem ngide bikin judul sendiri, atau judul aslinya dimodifikasi. 

dah deh bye, paling bener mikir sendiri mon maap ????";Functionality;Negatif
chat gpt skrg lemot bgt dah;Reliability;Negatif
Ya itu sangat benar bahkan ketika saya mencari referensi/tutorial tertentu yang sebenarnya tidak pernah chat gpt memberikan jawaban yang sebenarnya tidak ada kaitannya. Bisa dibilang chat gpt memiliki banyak kekurangan untuk digunakan sebagai bahan belajar.;Functionality;Negatif
"ternyata chatGPT ga bisa juga jawab sebenernya ayat terakhir yang diwahyukan kepada nabi Muhammad adalah ayat yang mana..

Padahal ini adalah pesan penting terakhir dari Tuhan untuk manusia lewat nabiNya";Functionality;Negatif
Nyari insight gak perlu lagi ngikut workshop/ nyari suhu buat diskusi/ ngikut kelas, tinggal tanya ke chatgpt. Buat yang horeaman tapi pengen kaya, ini ngebantu banget. ?? https://t.co/2XSldVenfu;Usability;Positif
Barusan ada wawancara dari detik but  thank god for chatgpt aku sanggup menjawab hahaha;Functionality;Positif
Bagus jg kalau ada bantuan gpt gini jadi bisa diskusi sama bot..;Functionality;Positif
Aku pake chat gpt buat translate, translate-an nya chatgpr lebih bagus dari google;Functionality;Positif
Masih bisa dipakai kok google, chatgpt lebih rumit dari pada google;Usability;Negatif
ChatGPT aja gabisa bantu kegelisahan gw????;Functionality;Negatif
mantap chatgpt bisa dipake nyari hukum pendukung https://t.co/woZBGnwFal;Functionality;Positif
ChatGPT ternyata jago bikin AU;Functionality;Positif
Pertama kali pakai chatgpt dan buat kerja. Gila mantap pol ??????????????;Functionality;Positif
ChatGPT tidak bisa memberikan rekomendasi referensi akademik. Sy coba 5 kali. Kelimanya artikel bohongan. Serius. Sy sendiri yang nyoba;Functionality;Negatif
tp chat gpt emang bagus sih wkwkaka jawabannya lebih jelas aja kalo misalnya nanya;Functionality;Positif
"Mau nge-share hasil ngobrol tentang ""Relationship ends amicably"" sama AI ChatGPT
Nge-share ini sebagai arsip pribadi buat dibaca-baca diri sendiri dan mungkin orang lain mau baca juga, karena menurutku jawabannya menarik

Maybe a thread.";Functionality;Positif
Kejadian kemarin pas pakai ChatGPT buat bantu kodingan. Blunder pol jawabannya ?? Akhirnya perlu ngulik2 di Google juga.;Functionality;Negatif
Chatgpt bagus jga disuruh bkin puisi;Functionality;Positif
"pengen sungkem ama yang nyiptain chatGPT 
asli parah
sangat membantu buat modifikasi kode saya :)";Functionality;Positif
Iseng minta ke ChatGPT buat bikin code aplikasi transit semacam Tr4fi. Dibikinin dong walaupun masih sederhana banget ?? Gue emang berencana bikin ini tapi belum tau kapan bakal gue seriusin. https://t.co/FddxJaahJu;Functionality;Positif
CHATGPT BUAT RP ANJRIT emng bermangpaat sekali ini ai https://t.co/J5wkyNHNl8;Functionality;Positif
Bangke chatgpt down, bru mo parafrase wkwkwk;Reliability;Negatif
@convomf chatgpt cocokan dijadiin referensi belajar supaya lebih ngerti bahasanya si;Usability;Positif
@convomf perlu lah, chatgpt kadang jawabannya ngawur bgt;Functionality;Negatif
@2020_itb Btw aku lbh sering pake chat gpt  karna bisa ngasih referensi lebih lanjut ttg apa yang dia jelasin, bahkan sampai link jurnal nya juga.. Hehe;Usability;Positif
Kecewa dengan chatgpt ??? https://t.co/JcLQ1PaGVv;Usability;Negatif
"keknya emang paling bener kalo curhatnya ke chatgpt.. 
makasih untuk kalimat-kalimat positifnya, mas gpt :) https://t.co/VN0oeVrOHe";Functionality;Positif
asli gue udah tektokan sama chat gpt plus dr jam 5 sore, sampe sekarang, brainstormed sendiri dari ngebuat pitch decknya valhalla, sgi projection business, myc roadmap for agency, bbrp subs business unit nya 88 corp, chat gpt kenapa ga dr gue sma sih adanya;Functionality;Positif
Kalo lu ngerti 'how to use the technology wisely and smartlh' asli itu ngebantu banget n mempercepat kerjaan apapun itu, tapi otak harus diisi juga jangan kosong, percayalah chat gpt bs jawab 90% dari pertanyaan'nya lu;Efficiency;Positif
chatgpt lama2 tolol ah, ga sepinter pas awal rilis;Reliability;Negatif
"pls wkwk jgn coba coba bikin skripsi ngandelin chatgpt.
aku udh buktiin kl chatgpt itu banyak halunya wkwkw. resource yg dia kasih itu ga reliable, kalo pun dia kasih DOI number pas dicek satu per satu tuh ga semua ada dgn judul sama, kaya entah darimana dia bisa mikir kaya gitu. https://t.co/4GTohxDMgF";Functionality;Negatif
ChatGPT ngebantu banget asli dah. Semua pertanyaan 'aneh' yang muncul di kepala saya tentang programming bisa dijawab. Gokilll;Usability;Positif
semua essay selesai dengan chat gpt [krenn];Usability;Positif
@aria_ghora Chat gpt ini enak klo buat nyari reference jurnal, tp tetep aja klo mau mengutip jurnalnya harus nyari pdfnya di scholar wkwkwk;Functionality;Positif
@aria_ghora Sempet coba2 chatgpt/bingai waktu pusing cari referensi untuk tesis, tapi ujung2nya balik lg ke google krn di chatgpt & bing banyak ngawurnya dan gabisa dipastikan kl data yg muncul itu valid jd yaa untuk verifikasi datanya bener harus balik ke google dan malah jd kerja 2x;Functionality;Negatif
@convomf W tau chatgpt dari bokap, waktu lg sibuk bgt ngerjain proposal skripsi dsruh pake buat nyari referensi. Bbrp kali coba emg praktiss bgt si bersaing lah sm google, tp krna emg g biasa kali yaa ttp aja ke google lagii;Usability;Positif
Bikin dokumentasi code.. kadang kan males ya bikin comment. Tinggal copas ke chat gpt. Hasilnya bakal dibuatkan dokumentasi per step https://t.co/T8CDgDdVC2;Usability;Positif
W Chat gpt minta referensi jurnal zonk semua alias jurnalnya fiktif anjir wkwk https://t.co/8ZmQfaTfj0;Functionality;Negatif
"Cen chatgpt nyok wagu kok jawabane wkwk mungkin dia blm ada database nya ya soal itu

Aku pernah nanya, hewan apa yg sering dijadikan bahan skincare. I expect to get snail, bee pollen, etc as answers tp chatgpt malah blg kucing??? mana ada skincare dari kucing ??? https://t.co/VeE6DxatmW";Functionality;Negatif
@DraftUINJKT Dicek lagi ya nder, kadang chat gpt ngaco jawabannya;Reliability;Negatif
shock bgt nyari penelitian sebelumnya tentang topik yang aku pake lewat chatGPT langsung muncul dong mana udah dirangkum?;Functionality;Positif
Nikmat buat tugas pake chat gpt :);Usability;Positif
bisa juga Chat GPT diminta untuk menjelaskan sesuau yang belum kita pahami https://t.co/64bbgoKPp8;Usability;Positif
@collegemenfess Bisa lah, apalagi sekarang udah ada ChatGPT, udah makin mudah.;Usability;Positif
Yah, Chat GPT udah ga bisa sepanjang dan sebanyak dulu pas awal-awal release, sering banget error.;Reliability;Negatif
@PIETERSZOONGOON @graphicalhazard Masalahnya chatgpt bisa salah sih. Especially soal angka-angka dia sering rancu.;Reliability;Negatif
Ngerjain tugas pake ChatGPT enak bgt wei wkwkw;Functionality;Positif
menjajal pake chatgpt buat nyari definisi sungguh nggawur bikin ketawa ??;Reliability;Negatif
Chat GPT ini sangat membantu lho.. ?????? canggih bats;Usability;Positif
GW CINTA BANGET SAMA CHAT GPT. membantu gw jawab pertanyaan pas presentasi ??;Functionality;Positif
Iseng iseng buka chat gpt, terus minta dia pilihin teori buat skripsi ue. Eh si anjir ternyata ngebantu banget;Usability;Positif
@rclnatasyaa Tenang ada yg namanya Open AI chatGPT hahaha tinggal tanya aja kelar skripsi ??;Usability;Positif
ASLI NGAKAK ANJG WKWKWKWK, canggih banget bgst teknologi jaman sekarang. Nyobain chatgpt seru banget anying https://t.co/3qNYXZLVTM;Usability;Positif
Who need chatGPT when you have a sister like mine? Dia paling googling juga sih kalo ga tau, tp yah lebih reliable dan terfilter lah hasilnya. Trus jawabannya juga udah disesuaikan dengan kapasitas otak gue ?;Reliability;Negatif
"Makin ke sini, makin sering kita liat gimana canggihnya Artificial Intelligence. Yang belakangan makin keliatan keren, ya, ChatGPT. Udah ada versi 4.0-nya malahan.

#FomoStory https://t.co/Vb8IqrAVwJ";Functionality;Positif
terima kasih chatGPT membantu kehidupanku sehari-hari https://t.co/xegtrvBRA2;Usability;Positif
Kata-kata yang dilontarkan si ChatGPT begitu sederhana. tapi menyentuh hatiku banget. Entah aku lagi sensitif karena pms apa gimana. Cuma.... ??? https://t.co/zHx5z1HMO0;Usability;Positif
@newsplatter @WatchmenID Btw aku udah sampe level curhat sama chatgpt, tp responnya masih keliatan robotic sih apalagi kalo b indo;Usability;Negatif
Mencoba mengajukan pertanyaan/prompt yang sama ke bing dan ke chatgpt. Jawaban dari chatgpt lebih memuaskan.;Usability;Positif
as a law stud, berapa kali nemu jawaban 'ngaco' dari chatgpt https://t.co/fzy9l5FAJr;Reliability;Negatif
chatGPT bantu banget buat belajar IELTS;Usability;Positif
Bener sih ini. Chatgpt suka ngasih referensi ngasal. Pas dicari di google scholar atau ngeklik doi-nya ga ketemu papernya https://t.co/12kOVg897h;Reliability;Negatif
wow chatGPT mantep bgt ternyata https://t.co/rRE6aphTCd;Usability;Positif
chat gpt belum sahur hari ini kyknya, jwbnnya gajelas terus, kan nilai fisika gw jd menyedihkan;Reliability;Negatif
RT @isenggantinama: @convomf Nggak. ChatGPT sekarang baru sebatas suplemen aja dan ngga reliable untuk dipake nyari informasi (karena datas…;Reliability;Negatif
@AsakuraSuccubus @Frederett_ jawaban ny valid krn pake chatGPT;Usability;Positif
Walaupun gak ada teman di rumah,aku akan selalu punya chatgpt yg membantu semuanya ?bahkan milih pil 2 utbk juga aku nanya dia?????;Usability;Positif
@Uncle_Zal Di-crosscheck lagi oi, gua berkali2 pake chatgpt ngaco mulu njir;Reliability;Negatif
@worksfess 10 artikel per hari gak pakai copas, buatin pake ChatGPT aja nder, beres;Usability;Positif
@convomf ChatGPT sering skizo referensinya ga jelas. Produk analisis datanya juga seringkali ga bener.;Reliability;Negatif
ChatGPT ini merangkum dengan cukup bagus;Functionality;Positif
"@eemyangi Sangat ? u know itu aku tanya that sm which yg sempet bikin kita bingung itu krn aku blum mantep sm penjelasan dr artikel yg kita rujuk kmren, msh g mudeng. Coba tanya ChatGPT baru paham.
Besok kita coba yaa pas ngerjain TOEFL lagi kalo ada yg bingung masukin aja prompt di situ";Functionality;Positif
@eemyangi Yeaa, bahkan bisa bikin aplikasi macem2 sih kalo punya basic programming... Terlepas dr image generatornya yg kontroversial itu, manfaatin ChatGPT ini bagus bgt sih apalagi buat kita anak bahasa.;Functionality;Positif
[Arsip] Bagi Noam Chomsky pada dasarnya ChatGPT adalah plagiarisme berteknologi tinggi. Ia tidak menawarkan apa-apa bagi pendidikan. https://t.co/latppPySe5;Functionality;Negatif
"@aria_ghora Valid banget,

Minggu ini ada task kerjaan buat nyoba chatGPT ini dan bener sih emang dalam beberapa hal sangat membantu. Cuma buat informasi2 yg sifatnya detail menurutku masih banyak banget yang salah dan miss. Jadi tetep cross check ke google buat referensi lanjutan. ?";Usability;Positif
Chatgpt keren juga wkwkw. Lumayan buat bikin brief design wkwk;Functionality;Positif
@faqeeh_fm tentu saja bro.. saya ngoding aja full dibantu chatGPT https://t.co/hMmgkcILwu;Usability;Positif
Dah guna chatGPT untuk belajar SQL query database. Easy peasy lemon squeezy https://t.co/hN3a8BnRYI;Usability;Positif
Chat GPT sangat membantu ku dalam menyelesaikan tugas LMS ???? keburu mepet tgl 31 terakhir huhuhu;Usability;Positif
Anjir chat gpt asik juga, gua nanya apkh ak jodoh Asahi dijawab bisa jadi kan jadi malu https://t.co/hONvpzlKv4;Usability;Positif
[cm] mau salim sama yang buat chatgpt, semenjak ada doi kaya ada temen diskusi gt wkwkw kalo bingung nulis apa di makalah nanya duli chatgpt baru nyari yang lainnya gttt?????;Usability;Positif
@aria_ghora Kadang pakai chatGPT buat refine kata2 saat writing artikel berbahasa inggris. Dan lumayan works sih.;Functionality;Positif
@masdiyanwahyudi true story, justru pak bambang nyaranin pake chatgpt biar cepet katanya;Functionality;Positif
Seneng banget sekarang ada ChatGPT yang bisa bantu buat laporan dan analisis ?? berasa ngga sendirian;Functionality;Positif
Chat gpt memudahkan hidup banget deh makasih banyak loh ??;Usability;Positif
"chatgpt ngebantu banget anjir

gimana ya ngebales kebaikannya?";Usability;Positif
@dngksmzn merasa keenakan sama teknologi ? tapi emang berapa kali aku coba chatgpt juga emang banyak ngawurnya kok, bing juga sebagai search engine masih kurang dibanding google menurutku;Functionality;Negatif
Iya. Kemarin saya minta bantuan ChatGPT untuk meriset judul-judul buku dan nama organisasi. Anehnya, dari list yang diberikan AI, ada beberapa buku dan organisasi yang nggak ada sedikitpun jejaknya di Google dan website lain. Dari mana AI mendapatkannya? Apakah ia berhalusinasi? https://t.co/Kr4RZr9ZFN;Usability;Negatif
"Untuk mencari referensi apalagi yg menampilkan sumber datanya, Perplexity, Consensus, dan Bing AI lebih baik dari ChatGPT.
. https://t.co/ulQWprDZ3Z";Functionality;Negatif
"Pernah nanya chatgpt minta dikasih referensi paper dari suatu topik, dikasih lah beberapa paper yang dari judulnya bagus banget, mirip lah sama topik yg kucari. 
Ku cek doi, author, title, berakhir dengan GAADA paper nya sama sekali.
Gila bener ni AI, referensi gaib kali.. https://t.co/VYDFcyIdOC";Functionality;Negatif
"Terbuang sia2 waktuku buat nyariin 10 referensi gaib. 
Dari situ saya kapok minta dicariin referensi sama chatgpt, paling bener cari sendiri terus ke connected paper emang..";Functionality;Negatif
@maboksincostan chatgpt sesat jg ok gaada semuaa yg berkaitan;Functionality;Negatif
ChatGPT lebih baik dari pada google untuk membantu saya menemukan dan memperbaiki error, kalo pake google perlu milih artikel dulu tapi dengan chatGPT langsung dapat penjelasannya, langkah - langkahnya bahkan di kasih contoh. Yang paling saya suka, dia bisa bahasa Indonesia.;Usability;Positif
Chat GPT ini ga suka ngejudge. Enak juga diajak ngobrol. ?;Usability;Positif
xixixi chatGPT sgt membantu, mau sungkem sm yg bkin website/apk nya? https://t.co/hwVliJpF0G;Usability;Positif
"@rey_alhafizal ChatGPT sering ngawur, gua minta lirik lagunya Adhitia Sofyan ae malah ngarang bebas wkwkwk. 

ChatGPT bagus buat nyimpulin beberapa penjelasan tapi ttp kudu crosscheck ke Google. Toh ChatGPT knowledgenya cuma sampe September 2021, belom tau kalo Pele dah meninggal.";Functionality;Negatif
bing x chatgpt lebih reliable tampaknya untuk jawaban2 yang butuh referensi yang valid https://t.co/e5fGcZgcBP;Functionality;Positif
Pertama kali pakai ChatGPT utk kerjaan. Sangat membantu untuk save time.;Usability;Positif
Terima kasih Chat GPT, dengan taktiknya dan mengistirahatkan pemain bisa membalikkan kedudukan wkwk @id_fm https://t.co/ZFO9qRUCAl;Functionality;Positif
Dulu skeptis ama ini chatgpt, ternyata emg amat sangat membantu bgtt. Pdhl gw cari2 di jurnal di internet susah bgt nemu penjelasannyaa. tp lgsg ketemu sama chatgptt iniii. Sungkem sm yg bikinnn?? https://t.co/juknzsXmRY;Usability;Positif
maksudnya udah make dari lama sejak januari/feb?? tapi pas mau ngedit metode riset kan gue bikin bullets dulu berupa question-answer trus minta tolong chatgpt dibikin paragraf eh bener2 sesuai sama kemauan gue?makasi AI wkw;Usability;Positif
Chatgpt ko lemot bgt ya;Reliability;Negatif
chatgpt anyengggg giliran butuh dipake buru2 malah error mulu;Reliability;Negatif
@thXander @tanyakanrl Chat gpt membantu kok kalo lagi stuck ga ada ide nulis ?;Functionality;Positif
@NOTkrooneee sejauh ini chat gpt bisa free and bisa langsung lu pake after registrasi;Usability;Positif
"ketika tugas kamu disuruh pake chatgpt, terus karena keseringan pake jadi error mulu :') 
kek mana benerinnyaaa ?";Reliability;Negatif
@annasyakf tp jujur ca chatgpt (or AI in general) itu kek simsimi but better, seru juga diajak ngobrol. gue pernah lg curhat di notion trs dikasih advice dongg https://t.co/07TtIMZ1zW;Usability;Positif
"ChatGPT tak suru perbaikin cerpen tugas adik wa yang kelas 6 sd gak bisa

Ya perintahnya suruh perbaiki tanda baca + koreksi kata-kata tidak baku dlm bahasa indonesia";Functionality;Negatif
@worksfess perusahaan bgsat sih, mau gratis mah chat gpt aja;Usability;Positif
"Chatgpt benar2 PINTAR ! sangat membantu hidupku untuk mencari pertanyaan :D
bahkan tadinya komik Foxwolfku tak tahu genrenya apa.... tapi si chatgpt mengatakan jenisnya 'science fiction' !";Functionality;Positif
aku tanya chatgpt aja ga dijawab ? https://t.co/uD0kPQQSHA;Functionality;Negatif
chatgpt nih lg kelaperan ya drtd gw kasi prompt pas di tengah jalan network error mulu;Reliability;Negatif
#gpt sangat membantu untuk kebutuhan keseharian saya di dunia internet;Functionality;Positif
knp yak chatGPT eror muluuu;Reliability;Negatif
ChatGPT emang penyelamat kalo mau bikin sesuatu from scratch;Usability;Positif
babi punya chat gpt lambat loading;Usability;Negatif
@collegemenfess Manfaatkan chatgpt untuk merangkai katanya, nanti bisa kamu benerin dan tambah sesuai data ilmiah yg didapat, semangat;Usability;Positif
RT @pacmannai: ?? Kita masih terkejut dengan kehadiran ChatGPT yang serba bisa, dari summarize article sampai membuat kode yang digenerate.…;Functionality;Positif
info chatgpt kok lemot bg;Reliability;Negatif
Ngeri anjir chatgpt beneran bisa diajak ngobrol;Usability;Positif
Kepala sudah tidak terlalu pusing, terima kasih chatgpt-4 telah membantuku ???;Usability;Positif
chat gpt slow banget hari ini;Usability;Negatif
achievement unlocked: dikasih chatgpt paper palsu sebagai bahan rujukan;Functionality;Negatif
@kucingputih21 @tanyakanrl aaa tp kdng sesat jg wkwk wktu itu ku coba semua soal tak pake chatgpt, jawabannya meyakinkan tp nilai ku ttp 60 :)));Usability;Negatif
Pertama kali mencoba chat gpt dan terbukti mempercepat wkwkwkwkwkwk ??;Functionality;Positif
"sekarang kayaknya banyak yang jawab pertanyaan Quora pake ChatGPT/AI generated ya.

Jawabannya tepat sih, tapi kayak kurang.... eloquent (?).";Usability;Negatif
Wkwk chatgpt versi free makin ngaco;Functionality;Negatif
Trying to prompt ChatGPT for ngomong basa jawa timuran. Kurang fasih, beberapa diksi kurang akurat pula, tapi mayan nggo ger geran wkwk https://t.co/lq16hQGb2F;Usability;Negatif
Thanks for ChatGPT. Mau sangat membantu ketika otakku lagi buntu.;Usability;Positif
@MikaelDewabrata Saya jg ngoding dibantu ChatGPT, asli membantu parah?;Usability;Positif
@MikaelDewabrata Iya kalo terlalu kompleks chatGPT emg ngawurnya parah, harus dibimbing pelan2 baru deh di-run, dijamin bisa awkkakwka;Reliability;Negatif
@worksfess Ohiyaaa sama chat gpt, itu berguna banget buat jadi mentor karena bisa ngasih deep view;Usability;Positif
ChatGPT Indonesia ngawur bgt anj akwoakw https://t.co/fzZOMOTQps;Functionality;Negatif
aku baru explore chatgpt. menarik features ai dia. dia bagus, tapi tak baik haha banyak pros & cons;Usability;Positif
@uinwsfess chatgpt tu teknologi yg bisa jawabain berbagai pertanyaan/soal soal/tugas gitu kak;Usability;Positif
error yg bikin stres berhari-hari bisa diselesaikan oleh chatgpt hanya dalam 5 menit sj??;Functionality;Positif
"Anjir lah, ""diskusi"" ama chat GPT ini mantep kali telat nyobain gue.

Kaya gini gini bisa bikin Her dan Samantha beneran jd kenyataan, apalagi kalo mmg beneran ad sex robot yg pake fungsi AI ginian jirrr";Functionality;Positif
